id,name,lat,long
7468,Hotel Xalet la Pastorella,42.535002,1.528212
7470,Apartaments Moblats AdministraciÃ_ i GerÃ¨ncia Les Abelletes,42.538295,1.733278
7472,Apartaments Moblats AgÃ¨ncia Pedrous,42.540192,1.733671
7474,Apartaments Moblats AgÃ¨ncia Trekking S.T.,42.541222,1.731859
7476,Apartaments Moblats AltÃ_ssim,42.541724,1.731437
7478,Apartaments Moblats Crest,42.541887,1.730392
7480,Apartaments Moblats Pas,42.541098,1.73135
7486,Apartaments Moblats Els Avets,42.542743,1.73183
7488,Apartaments Moblats Frontera Blanca II,42.538309,1.733273
7492,Apartaments Moblats GrifÃ_ Vacances,42.538876,1.733246
7494,Apartaments Moblats Hola Andorra,42.515063,1.531543
7496,Apartaments Moblats Lauranna,42.550591,1.510919
7498,Apartaments Moblats LCB,42.538661,1.733281
7500,Apartaments Moblats Llorsa - La Solana,42.533819,1.588006
7502,Apartaments Moblats Maragall,42.507394,1.530154
7506,Apartaments Moblats Seturia,42.545367,1.474038
7510,Apartaments Moblats Solaris,42.54141,1.730175
7522,Apartaments TurÃ_stics Bonet,42.545646,1.475805
7528,Apartaments TurÃ_stics Cristiania,42.556404,1.532705
7112,Hotel Abba Suites Hotel,42.5333,1.51779
7532,Apartaments TurÃ_stics del Meligar,42.53276,1.576858
7114,Hotel Abba Xalet Suites,42.533162,1.517711
7538,Apartaments TurÃ_stics Giberga,42.542987,1.523178
7120,Hotel Exe PrÃ_ncep,42.507744,1.534205
7540,Apartaments TurÃ_stics K2,42.541224,1.730886
7122,Hotel Exe Prisma,42.50822,1.538606
7124,Hotel Andorra Center,42.507682,1.520488
7544,Apartaments TurÃ_stics La Neu II,42.600368,1.532173
7126,Hotel Andorra Palace,42.508359,1.527255
7548,Apartaments TurÃ_stics Manzano,42.540505,1.731354
7550,Apartaments TurÃ_stics Mitxeu,42.598396,1.529734
7128,Hotel Andorra Park Hotel,42.509442,1.523425
7130,Hotel AnyÃ_s Park,42.532917,1.523835
7554,Apartaments TurÃ_stics Prat de les Mines,42.600368,1.532951
7132,Aparthotel Arans Ordino 3000,42.581081,1.519032
7134,Hotel Arbre de Gel-ADG,42.534441,1.586793
7136,Hotel Arinsal,42.573648,1.482994
7560,Apartaments TurÃ_stics Sant Moritz,42.571747,1.484496
7138,Hotel Art Hotel,42.507214,1.527408
7562,Apartaments TurÃ_stics Sant RomÃ ,42.567222,1.489946
7144,Hotel Babot,42.555038,1.540418
7146,Hotel Barcelona,42.476113,1.490146
7566,Apartaments TurÃ_stics VilarÃ_,42.593364,1.525726
7148,Hotel BellpÃ_,42.503829,1.514091
7568,Apartaments TurÃ_stics VilarÃ_ II,42.593249,1.526015
7570,Aparthotel Alaska,42.5417,1.731425
7152,Hotel BringuÃ©,42.618474,1.53895
7572,Aparthotel Annapurna,42.566467,1.524021
7154,Hotel El Pradet,42.618474,1.538944
7574,Aparthotel AnyÃ_s Park,42.533041,1.5241
7158,Hotel Cal Ruiz,42.543949,1.733222
7576,Aparthotel Casa Vella,42.554614,1.532123
7160,Hotel Camel.lot,42.54087,1.731046
7578,Aparthotel CÃ_ndor,42.541524,1.732063
7162,Hotel Camp del Serrat,42.517247,1.567755
7580,Aparthotel Conseller,42.509857,1.546293
7582,Aparthotel Cosmos,42.509768,1.541009
7166,A Casa Canut Hotel GastronÃ_mic,42.50861,1.539888
7584,Aparthotel el Pedral,42.534633,1.579864
7586,Aparthotel el Serch,42.512206,1.535371
7168,Hotel Casado,42.54222,1.732364
7170,Hotel Cassany,42.50792,1.524836
7172,Hotel Catalunya,42.541797,1.73334
7590,Aparthotel Fijat,42.596282,1.526051
7174,Hotel Celler d'en Toni,42.507082,1.531712
7592,Aparthotel Fontverd,42.507433,1.530849
7176,Hotel Central,42.542939,1.733785
7178,Hotel CÃ©rvol,42.503042,1.513337
7596,Aparthotel Iceberg,42.512873,1.534991
7182,Hotel Cims,42.542356,1.734129
7598,Aparthotel La Neu,42.59944,1.53166
7600,Aparthotel Les Olimpiades,42.54054,1.73135
7184,Hotel Coma,42.555887,1.535333
7186,Hotel Coma Bella,42.446677,1.495046
7604,Aparthotel l'Orri de Rusca,42.531644,1.573327
7188,Hotel Comapedrosa,42.571949,1.483951
7606,Hotel Patagonia Austral,42.577778,1.479011
7190,Hotel Kyriad Comtes d'Urgell,42.510717,1.541189
7192,Hotel Confort d'Envalira,42.559122,1.686382
7608,Aparthotel PobladÃ_,42.573108,1.483739
7194,Hotel Confort,42.542364,1.732289
7610,Aparthotel Rialb,42.617607,1.538057
7616,CÃ mping Borda d'Ansalonga,42.565198,1.525044
7200,Hotel Cosmos,42.509768,1.541009
7618,CÃ mping Casal,42.567015,1.603091
7620,CÃ mping Internacional,42.533847,1.576583
7202,Hotel Crest,42.577183,1.479646
7622,CÃ mping Janramon,42.569188,1.605065
7204,Hotel Cristina,42.54087,1.731046
7626,CÃ mping Pla,42.566167,1.610184
7206,Hotel de les Neus,42.543036,1.734139
7628,CÃ mping Santa Creu,42.565412,1.600362
7208,Hotel de les Pistes,42.541608,1.73199
7630,CÃ mping Valira,42.50185,1.516155
7210,Hotel de l'Isard,42.508026,1.525243
7632,CÃ mping Xixerella,42.553041,1.488092
7212,Hotel del Bisset,42.54249,1.522884
7216,Hotel del Pui,42.547184,1.514869
7220,Tulip Inn Andorra Delfos Hotel,42.508155,1.538545
7644,PensiÃ_ Caliu d'en Josep,42.536445,1.582715
7222,Hotel Diana Parc,42.573994,1.482189
7646,PensiÃ_ els Escalls,42.513331,1.535503
7648,PensiÃ_ Garcia,42.50549,1.516113
7224,Hotel DiplomÃ tic,42.50527,1.527775
7650,PensiÃ_ La Rosa,42.507277,1.520383
7226,Hotel el Xalet,42.579534,1.649536
7652,PensiÃ_ Roser,42.51188,1.534956
7654,ResidÃ¨ncia Aldosa,42.543281,1.52278
7230,Hotel Erts,42.561536,1.497363
7658,ResidÃ¨ncia Benito,42.508549,1.53425
7232,Hotel Espel,42.510253,1.533567
7660,ResidÃ¨ncia Daina,42.565706,1.49068
7234,Hotel Eureka,42.508655,1.539982
7662,ResidÃ¨ncia Indalo,42.509891,1.53141
7664,ResidÃ¨ncia Serveis d'Hoteleria Finet,42.580396,1.648791
7666,ResidÃ¨ncia Serveis d'Hoteleria Finet 2,42.580396,1.648791
7668,Alberg Borda Jovell,42.536362,1.516475
7242,Hotel Festa Brava,42.508418,1.522494
7670,Alberg la Comella,42.50029,1.528897
7246,Hotel Folch,42.468136,1.493996
7674,Natur Refugi Cortals de Sispony,42.526944,1.486389
7676,Refugi Borda de Sorteny,42.622625,1.564135
7250,Hotel Font d'Argent Pas de la Casa,42.541611,1.73198
7678,Refugi Cabana de la Vall del Riu,42.595639,1.613198
7680,Refugi Cabana de SiscarÃ_,42.595028,1.70597
7254,Hotel GaspÃ ,42.550891,1.526034
7682,Refugi de Cabana Sorda,42.611607,1.672414
7256,Gran Hotel Font,42.547109,1.513616
7684,Refugi de Claror,42.470144,1.563911
7686,Refugi de Comaubaga,42.60677,1.550525
7688,Refugi Comapedrosa,42.579029,1.449351
7690,Refugi Cabana de CÃ_ms de Jan,42.618449,1.638779
7264,Hotel Guineu,42.540675,1.731345
7692,Refugi de Fontverd,42.492098,1.594511
7694,Refugi de FrancolÃ_,42.489924,1.426265
7266,Hotel Hesperia,42.508995,1.529004
7696,Refugi de JuclÃ ,42.607382,1.715725
7268,Hotel HimÃ laia Pas,42.540904,1.730934
7698,Refugi de Cabana de la Portella,42.57202,1.720525
7700,Refugi de l'Angonella,42.607964,1.496086
7702,Refugi dels Agols,42.511109,1.608926
7704,Refugi de les Fonts,42.590111,1.47893
7706,Refugi de l'Illa,42.495007,1.656434
7708,Refugi de MontmalÃºs,42.499198,1.68067
7710,Refugi de Perafita,42.479718,1.578246
7278,Hotel Mola Parc,42.511494,1.538708
7712,Refugi de Prat Primer,42.478471,1.550277
7714,Refugi de Rialb,42.640377,1.561245
7280,Hotel Husa Xalet BesolÃ_,42.568504,1.489549
7282,Hotel Husa Xalet VerdÃº,42.574732,1.48193
7716,Refugi de Ribaescorjada,42.567645,1.641166
7718,Refugi del Pla de les Pedres,42.553653,1.678862
7284,Hotel Tropical,42.512878,1.551186
7720,Refugi d'Ensagents,42.517032,1.642044
7286,Hotel Jaume I,42.504471,1.514228
7722,Refugi Pla de l'Estany,42.594046,1.460502
7724,Refugi Riu dels Orris,42.485051,1.639777
7288,Hotel Kandahar,42.541374,1.732171
7726,Refugi Roca de Pimes,42.433707,1.53576
7290,Hotel La Burna,42.535732,1.516121
7728,Refugi de Collet MartÃ_,42.473056,1.468056
13697,ResidÃ¨ncia Jaume I,42.504106,1.514329
7292,Hotel La Cabana,42.552952,1.533135
34437,Refugi Borda Les Reineres d'Incles,42.592642,1.670741
7302,Hotel les 7 Claus,42.513871,1.533118
38513,Apartaments Moblats Esquirol,42.566654,1.599458
7304,Hotel Les Closes,42.508616,1.536852
38541,Xalet A.M.P Grup,42.567534,1.602579
7306,Hotel Les Fonts,42.50757,1.531045
38550,Apartaments Pisos a Dies,42.507927,1.5211
7310,Hotel les Truites,42.543173,1.734788
38551,Apartaments TurÃ_stics La Neu,42.600066,1.532546
7312,Hotel Llac Negre,42.544702,1.73121
38574,Apartaments Moblats Neres Pas,42.542332,1.730789
38575,Apartaments Moblats 3000,42.542367,1.731393
38738,Apartaments Moblats EngaÃ¯t,42.543744,1.732116
7316,Hotel MÃ gic Pas,42.542603,1.732152
38739,Hotel Mirtil,42.541813,1.732986
7318,Hotel MÃ gic La Massana,42.545659,1.51746
38740,Hotel Antic,42.575691,1.519196
7320,Hotel MÃ gic Andorra,42.509324,1.530297
7322,Hotel MÃ gic Canillo,42.563421,1.601418
38749,ResidÃ¨ncia Nuria,42.509146,1.541097
7326,Hotel Marfany,42.508726,1.536756
38750,Apartaments Moblats Dormir per Nits,42.51008,1.538786
38751,PensiÃ_ Rossell,42.509066,1.543737
7328,Hotel Mercure,42.507704,1.527663
42676,Casa Rural de les Arnes,42.534968,1.576744
7330,Hotel Meta,42.54289,1.732656
42690,Borda del MollÃ ,42.533531,1.61051
43092,Casa Mariola,42.564865,1.527369
7332,Hotel MetrÃ_polis,42.510261,1.540948
97169,Zona d'acampada Font de Ferrosins,42.592642,1.670741
7338,Hotel MontanÃ©,42.572654,1.483896
7342,Hotel Mu,42.573326,1.518329
7344,Hotel Natur Marco Polo,42.543074,1.516682
102801,Hotel Valmar,42.508443,1.532698
102802,Aparthotel Sant Andreu,42.57595,1.481677
102803,Apartaments Moblats Mont Blanc,42.547985,1.515387
7348,Hotel Niunit,42.618507,1.538923
102857,Apartaments TurÃ_stics Xixerella,42.553269,1.488508
123295,Casa Rural Cal Batlle,42.576044,1.51867
7352,Hotel Novotel,42.507661,1.527676
126354,Hotel Eurostars Andorra Centre,42.50839,1.524709
126356,Hotel Cubil,42.542561,1.731532
7356,Hotel Ordino,42.555648,1.533525
126358,Hotel Ferreira,42.542726,1.733938
7358,Hotel Oriol,42.509165,1.539414
126364,Borda Rural de Conangle,42.442182,1.501974
7360,Hotel Oros,42.535216,1.585078
126373,Alberg Naturlandia,42.441145,1.500569
7362,Hotel Palarine,42.564499,1.492464
126376,Xalet Carlemany,42.564396,1.493417
7364,Hotel PalomÃ©,42.565,1.491278
126379,PensiÃ_ Barri Antic,42.506883,1.52099
7366,Hotel Panda,42.543489,1.733568
