id,name,lat,long,type,adj_type
10480,Bar restaurant Els Jardins,42.510973,1.540436,gastronomy,gastronomy
10482,Bar Engordany,42.511582,1.541535,gastronomy,gastronomy
10484,Bar Forcarey,42.512392,1.542203,gastronomy,gastronomy
10488,Frankfurt Cerni,42.508434,1.522304,gastronomy,gastronomy
10490,Frankfurt El Cobert,42.566139,1.59835,gastronomy,gastronomy
10492,Frankfurt El Maresme,42.466173,1.492891,gastronomy,gastronomy
10494,Frankfurt Les Rodes,42.49806,1.502281,gastronomy,gastronomy
10500,Frankfurt Pedralbes,42.507849,1.532657,gastronomy,gastronomy
10504,Bar Glass Bar,42.575556,1.671111,gastronomy,gastronomy
10506,Bar GR 11,42.537258,1.585961,gastronomy,gastronomy
10510,Granja El Goig,42.49574,1.499248,gastronomy,gastronomy
10512,Cafeteria Sucre d'Or,42.504645,1.524063,gastronomy,gastronomy
10518,Granja Pastisseria Nou Estil,42.464737,1.491668,gastronomy,gastronomy
10520,Granja Roc Arnau,42.534643,1.577514,gastronomy,gastronomy
10524,Restaurant Palanques,42.545761,1.514418,gastronomy,gastronomy
10530,Restaurant Parador Canaro,42.579037,1.658769,gastronomy,gastronomy
10532,Snack-Bar Sant Eloi,42.45796,1.486971,gastronomy,gastronomy
10538,Bar KSB,42.540758,1.731758,gastronomy,gastronomy
10540,Granja La Cantonada,42.497362,1.502343,gastronomy,gastronomy
10542,Bar Restaurant La Caulla,42.464984,1.489908,gastronomy,gastronomy
10548,Bar La Riverola,42.453418,1.48706,gastronomy,gastronomy
10550,Restaurant McDonald's,42.508521,1.533526,gastronomy,gastronomy
10552,Restaurant McDonald's,42.543509,1.732031,gastronomy,gastronomy
10554,Restaurant McDonald's (McAuto),42.505136,1.528076,gastronomy,gastronomy
10556,Restaurant McDonald's,42.45983,1.489063,gastronomy,gastronomy
10558,Restaurant El temple ItaliÍ_,42.54305,1.734174,gastronomy,gastronomy
10560,Snack-Bar Off Piste,42.542224,1.730835,gastronomy,gastronomy
10568,Restaurant Pista Negra,42.543173,1.731854,gastronomy,gastronomy
10570,Bar Restaurant Pla de l'Estany,42.545397,1.514022,gastronomy,gastronomy
10574,Bar Pont dels Escalls,42.513551,1.534234,gastronomy,gastronomy
10576,Bar The Villager Tapas & Wine,42.576296,1.668515,gastronomy,gastronomy
10578,Bar Restaurant Cal Ruiz,42.544007,1.733329,gastronomy,gastronomy
10582,Bar El Cachirulo,42.507817,1.538172,gastronomy,gastronomy
10584,Snack-Bar Aparthotel Fijat,42.595049,1.52637,gastronomy,gastronomy
10586,Bo Bar,42.54241,1.733415,gastronomy,gastronomy
10588,Restaurant Valor,42.495446,1.498714,gastronomy,gastronomy
10590,Bar Restaurant Cent per Hora,42.461834,1.490689,gastronomy,gastronomy
10598,Granja Cafeteria Benvinguts,42.508578,1.540827,gastronomy,gastronomy
10600,CafÍÎ de la PlaÍ_a - Bon Dia,42.506747,1.522382,gastronomy,gastronomy
10602,Bar Broques,42.533113,1.579086,gastronomy,gastronomy
10604,Restaurant Burger Roc,42.566574,1.599506,gastronomy,gastronomy
10606,Snack-Bar Ca l'Angel,42.464582,1.491753,gastronomy,gastronomy
10612,Snack-Bar Cal JuliÍ_,42.500097,1.508077,gastronomy,gastronomy
10614,Snack-Bar Cal Pinxo,42.497048,1.502018,gastronomy,gastronomy
10616,Bar Restaurant Can Jovi,42.497732,1.503282,gastronomy,gastronomy
10618,Snack-Bar CanÍ_lich,42.461254,1.489385,gastronomy,gastronomy
10620,Bar Casa Galicia,42.505984,1.514834,gastronomy,gastronomy
10622,Restaurant Casino,42.540082,1.519235,gastronomy,gastronomy
10626,Restaurant Pica Pica,42.508521,1.534771,gastronomy,gastronomy
10628,Bar Restaurant CibercafÍÎ Porquets Si,42.547148,1.51474,gastronomy,gastronomy
10632,Bar Cortals,42.542362,1.661232,gastronomy,gastronomy
10636,Bar Comet,42.553805,1.590394,gastronomy,gastronomy
10638,Bar Conte,42.515749,1.530812,gastronomy,gastronomy
10640,Bar Dakar,42.506558,1.517486,gastronomy,gastronomy
10644,Bar MolÍ_,42.502739,1.513077,gastronomy,gastronomy
10648,Snack-Bar El ParanÍ_,42.508734,1.540114,gastronomy,gastronomy
10650,Restaurant El PassadÍ_s,42.510848,1.53371,gastronomy,gastronomy
10652,Bar El Pla de la Cot Ski & Lounge,42.533382,1.463842,gastronomy,gastronomy
10654,Bar El Pollastre Volador,42.543414,1.516982,gastronomy,gastronomy
10658,Bar El Siurell,42.544489,1.515791,gastronomy,gastronomy
10660,Bar Els Manyos,42.505169,1.52641,gastronomy,gastronomy
10662,Snack-Bar Esport,42.53324,1.524074,gastronomy,gastronomy
10664,Bar Restaurant Fenoy,42.468037,1.492384,gastronomy,gastronomy
10666,Bar Frema,42.511368,1.540715,gastronomy,gastronomy
10668,Bar PensiÍ_ Garcia,42.506178,1.518023,gastronomy,gastronomy
10670,Bar Granada,42.535303,1.581884,gastronomy,gastronomy
10674,Bar Ivan,42.541659,1.518409,gastronomy,gastronomy
10676,Snack-Bar Juventus,42.507738,1.529342,gastronomy,gastronomy
10678,Snack-Bar La Barbacoa,42.508023,1.522186,gastronomy,gastronomy
10682,Bar La Bona Taula,42.55018,1.511382,gastronomy,gastronomy
10938,Granja Cal FrancÍÎs,42.56656,1.599506,gastronomy,gastronomy
10684,Bar Restaurant La Cabaneta,42.583226,1.662906,gastronomy,gastronomy
10940,Granja Combi,42.507714,1.529202,gastronomy,gastronomy
10686,Bar La Cala,42.533445,1.579792,gastronomy,gastronomy
10942,Granja El Resiner,42.506917,1.529911,gastronomy,gastronomy
10688,Snack-Bar La Clota,42.552922,1.528752,gastronomy,gastronomy
10692,Bar La GÍ_ndola,42.510648,1.533601,gastronomy,gastronomy
10694,Snack-Bar La Nina,42.465845,1.493347,gastronomy,gastronomy
10950,Granja GaudÍ_,42.505666,1.520094,gastronomy,gastronomy
10696,Snack-Bar La Passa,42.467639,1.49299,gastronomy,gastronomy
10952,Bar Restaurant La Cuina Casolana,42.506971,1.530039,gastronomy,gastronomy
10698,Bar Restaurant La Pujada,42.506789,1.518227,gastronomy,gastronomy
10700,Snack-Bar La Rosa,42.560348,1.684424,gastronomy,gastronomy
10956,Granja Pastisseria La Palmera,42.506514,1.516776,gastronomy,gastronomy
10702,Restaurant La Sardana,42.506433,1.530554,gastronomy,gastronomy
10958,Granja La Plana,42.542362,1.511135,gastronomy,gastronomy
10704,Cafeteria La Terrassa (Centre Comercial PyrÍ©nÍ©es),42.508252,1.523817,gastronomy,gastronomy
10960,Pastisseria DolÍ_a,42.507224,1.519428,gastronomy,gastronomy
10706,Bar L'Abadia,42.507833,1.522315,gastronomy,gastronomy
10962,Granja L'Espiga d'Or,42.506773,1.530297,gastronomy,gastronomy
10710,Restaurant L'Anoia,42.506085,1.530554,gastronomy,gastronomy
10964,Granja MatÍ_,42.510383,1.539011,gastronomy,gastronomy
10712,Bar Las Vegas,42.506702,1.529696,gastronomy,gastronomy
10966,Granja Mitja Lluna,42.50618,1.51504,gastronomy,gastronomy
10714,Snack-Bar Les Delicies,42.541959,1.734059,gastronomy,gastronomy
10968,Granja PacÍ_fic,42.512236,1.539545,gastronomy,gastronomy
10716,Cafeteria Les DelÍ_cies del Jimmy,42.566226,1.598709,gastronomy,gastronomy
10970,Pastisseria La Magdalena,42.510213,1.532185,gastronomy,gastronomy
10720,Snack-Bar Lizarran,42.50841,1.529953,gastronomy,gastronomy
10972,Pastisseria La Lyonesa,42.507598,1.531439,gastronomy,gastronomy
10722,Bar Llac del Cubil,42.542362,1.661232,gastronomy,gastronomy
10974,Granja Pastisseria XocolatÍ_,42.534821,1.579392,gastronomy,gastronomy
10976,Cafeteria Pitiusa (Hotel Pitiusa),42.509185,1.533108,gastronomy,gastronomy
10726,Bar L'Ona Blava,42.511591,1.537343,gastronomy,gastronomy
10978,Granja RacÍ_ d'Enclar,42.497471,1.502692,gastronomy,gastronomy
