id,name,lat,long,type
10512,Cafeteria Sucre d'Or,42.504645,1.524063,gastronomy
10518,Granja Pastisseria Nou Estil,42.464737,1.491668,gastronomy
10520,Granja Roc Arnau,42.534643,1.577514,gastronomy
10524,Restaurant Palanques,42.545761,1.514418,gastronomy
10530,Restaurant Parador Canaro,42.579037,1.658769,gastronomy
10532,Snack-Bar Sant Eloi,42.45796,1.486971,gastronomy
10538,Bar KSB,42.540758,1.731758,gastronomy
10540,Granja La Cantonada,42.497362,1.502343,gastronomy
10542,Bar Restaurant La Caulla,42.464984,1.489908,gastronomy
10548,Bar La Riverola,42.453418,1.48706,gastronomy
10550,Restaurant McDonald's,42.508521,1.533526,gastronomy
10552,Restaurant McDonald's,42.543509,1.732031,gastronomy
10554,Restaurant McDonald's (McAuto),42.505136,1.528076,gastronomy
10556,Restaurant McDonald's,42.45983,1.489063,gastronomy
10558,Restaurant El temple Itali’_,42.54305,1.734174,gastronomy
10560,Snack-Bar Off Piste,42.542224,1.730835,gastronomy
10568,Restaurant Pista Negra,42.543173,1.731854,gastronomy
10570,Bar Restaurant Pla de l'Estany,42.545397,1.514022,gastronomy
10574,Bar Pont dels Escalls,42.513551,1.534234,gastronomy
10576,Bar The Villager Tapas & Wine,42.576296,1.668515,gastronomy
10578,Bar Restaurant Cal Ruiz,42.544007,1.733329,gastronomy
10582,Bar El Cachirulo,42.507817,1.538172,gastronomy
10584,Snack-Bar Aparthotel Fijat,42.595049,1.52637,gastronomy
10586,Bo Bar,42.54241,1.733415,gastronomy
10588,Restaurant Valor,42.495446,1.498714,gastronomy
10590,Bar Restaurant Cent per Hora,42.461834,1.490689,gastronomy
10598,Granja Cafeteria Benvinguts,42.508578,1.540827,gastronomy
10600,Caf’å de la Pla’_a - Bon Dia,42.506747,1.522382,gastronomy
10602,Bar Broques,42.533113,1.579086,gastronomy
10604,Restaurant Burger Roc,42.566574,1.599506,gastronomy
10606,Snack-Bar Ca l'Angel,42.464582,1.491753,gastronomy
10612,Snack-Bar Cal Juli’_,42.500097,1.508077,gastronomy
10614,Snack-Bar Cal Pinxo,42.497048,1.502018,gastronomy
