lat,lon,bc,degree
42.5038644,1.5197835,0,0.000212134
42.5123274,1.5504618,0.012149345,0.000424268
42.512234,1.5503751,0.0008588,0.000424268
42.5121607,1.5504348,0.000707856,0.000424268
42.5121893,1.5506053,0.002360182,0.000424268
42.5122652,1.5506205,0.000412422,0.000424268
42.5085386,1.5447757,0.208518033,0.000424268
42.5085092,1.544994,0.207964128,0.000424268
42.5082333,1.5459073,0.053374028,0.000424268
42.5081528,1.5462801,0.052742608,0.000424268
42.508141,1.5464812,0.052135276,0.000424268
42.5081915,1.5469256,0.051363841,0.000424268
42.5083506,1.5472977,0.05105288,0.000424268
42.5084462,1.547427,0.050885807,0.000424268
42.5087914,1.5476877,0.050591187,0.000424268
42.5101898,1.5482578,0.007294094,0.000424268
42.5107652,1.5484536,0.006703793,0.000424268
42.5121477,1.5505129,0.002600367,0.000424268
42.5123266,1.5505416,0.001409069,0.000424268
42.5030088,1.5154514,0.015635455,0.000424268
42.5031747,1.5156981,0.015662797,0.000424268
42.5034498,1.5160961,0.019199863,0.000424268
42.5036733,1.51655,0.019818072,0.000424268
42.5037302,1.5171165,0.020597359,0.000424268
42.5037516,1.5173546,0.020775839,0.000424268
42.5037625,1.5176101,0.020955522,0.000424268
42.5036559,1.5183024,0.021719865,0.000424268
42.5038044,1.5199263,0.005720533,0.000636402
42.5043864,1.5212833,0.005874416,0.000424268
42.5044898,1.5216195,0.00605608,0.000424268
42.5045559,1.5220295,0.00745966,0.000636402
42.5046645,1.5230031,0.030478124,0.000424268
42.5047673,1.5236288,0.035156606,0.000424268
42.5049535,1.5247277,0.035756114,0.000424268
42.5050807,1.5256082,0.034904425,0.000424268
42.5051755,1.526329,0.024784623,0.000424268
42.5052984,1.5272962,0.027456999,0.000636402
42.5052877,1.5275303,0.004407942,0.000424268
42.5055173,1.5295117,0.029749306,0.000424268
42.5057661,1.5305752,0.032705557,0.000424268
42.5063631,1.533659,0.002577806,0.000636402
42.5070332,1.5367915,0.003749802,0.000636402
42.5071682,1.5375962,0.002214303,0.000424268
42.5073184,1.5384422,0.002148681,0.000424268
42.5074015,1.5388844,0.001947543,0.000424268
42.5075013,1.5394837,0.00236562,0.000424268
42.5076039,1.5399517,0.143175489,0.000636402
42.5076829,1.5405952,0.142016099,0.000424268
42.5078166,1.541352,0.233189228,0.000636402
42.50791,1.5417317,0.210021712,0.000424268
42.5080364,1.542311,0.209880477,0.000424268
42.5081837,1.5431696,0.209323654,0.000424268
42.5082468,1.5434829,0.209267432,0.000424268
42.5084866,1.5440732,0.208712377,0.000424268
42.5085497,1.5444662,0.208657571,0.000424268
42.5037239,1.5168504,0.019957397,0.000424268
42.5022302,1.5137877,0.037595351,0.000424268
42.5024023,1.5141391,0.037732749,0.000424268
42.5025278,1.5145474,0.037873895,0.000424268
42.5027937,1.5151081,0.015548825,0.000424268
42.4950961,1.5042729,0.001424024,0.000424268
42.4950771,1.5045819,0.001635823,0.000424268
42.4950708,1.5048223,0.001847623,0.000424268
42.4951024,1.5050712,0.002058892,0.000424268
42.4952037,1.5053716,0.002770161,0.000424268
42.4955138,1.505878,0.002981006,0.000424268
42.4960201,1.5067449,0.003691001,0.000424268
42.4965263,1.507483,0.004401528,0.000424268
42.4967005,1.5077982,0.004611629,0.000424268
42.4976427,1.5097605,0.006030348,0.000424268
42.4978958,1.5102686,0.006450339,0.000424268
42.4985577,1.5109805,0.018399616,0.000424268
42.4991032,1.5113975,0.018603245,0.000424268
42.499526,1.511723,0.019306874,0.000424268
