motor,id
1,36949
1,36948
1,36772
1,36771
1,7488
1,7489
1,7665
1,25948
1,26657
1,27188
1,26834
1,27011
1,26480
1,26479
1,26302
1,26125
1,7665
1,2673
1,2674
1,2675
1,2672
1,2854
1,2855
1,2852
1,2853
1,3929
1,3930
1,3931
1,3928
1,4287
1,4288
1,4108
1,4109
1,4110
1,3571
1,3572
1,3570
1,3212
1,3213
1,3211
1,3390
1,3391
1,3392
1,3393
1,3749
1,3750
1,3751
1,3033
1,3034
1,3032
1,2493
1,2494
1,2495
1,2316
1,2315
1,1602
1,1603
1,1781
1,1780
1,1603
1,25955
1,25953
1,25954
1,25776
1,26311
1,26312
1,26310
1,26132
1,26133
1,24889
1,24888
1,24710
1,24711
1,24532
1,24533
1,25066
1,25067
1,23999
1,24000
1,24177
1,25599
1,25421
1,25422
1,25244
1,24354
1,24355
1,23822
1,23645
1,23468
1,24891
1,24892
1,24716
1,24717
1,24715
1,24540
1,24541
1,24542
1,25068
1,25066
1,25067
1,25243
1,25418
1,25419
1,25242
1,24365
1,24533
1,24534
1,24005
1,24006
1,24181
1,24182
1,24357
1,24358
1,23830
1,23829
1,25952
1,25953
1,26488
1,26489
1,26487
1,26308
1,26309
1,26310
1,26130
1,26131
1,24887
1,24888
1,24712
1,24713
1,24711
1,24536
1,24537
1,25064
1,25063
1,24008
1,24184
1,24185
1,25240
1,24361
1,24360
1,25951
1,25952
1,25953
1,25776
1,30572
1,30395
1,29497
1,29495
1,29496
1,29316
1,29317
1,29318
1,29138
1,29139
1,31454
1,31455
1,31456
1,31457
1,31281
1,31277
1,31280
1,31276
1,31104
1,31105
1,31106
1,17980
1,17981
1,17804
1,17980
1,18505
1,18328
1,18329
1,18330
1,18331
1,18155
1,18156
1,18157
1,18154
1,19931
1,19753
1,19754
1,19576
1,19399
1,19221
1,19222
1,19044
1,18867
1,18690
1,18689
1,18512
1,18335
1,18158
1,20108
1,20109
1,19931
1,19932
1,20101
1,20278
1,25963
1,25786
1,25785
1,26672
1,26849
1,26850
1,27027
1,26495
1,26318
1,26140
1,26141
1,24898
1,24720
1,24721
1,25076
1,25075
1,25608
1,25430
1,25431
1,25253
1,27566
1,27565
1,27743
1,27744
1,28099
1,28100
1,28101
1,27387
1,27388
1,27921
