motor,id
0,25955
0,25778
0,25779
0,25780
0,25603
0,25604
0,25778
0,25601
0,25424
0,25423
0,25246
0,23464
0,23465
0,29853
0,29676
0,30030
0,29499
0,29322
0,29145
0,29916
0,29917
0,30093
0,29562
0,29740
0,29739
0,29208
0,29385
0,29030
0,29207
0,28676
0,28853
0,28322
0,28499
0,28146
0,28323
0,27792
0,27969
0,27438
0,27615
0,26907
0,27084
0,27261
0,26906
0,26551
0,26729
0,26728
0,25490
0,25667
0,25666
0,25491
0,25137
0,25138
0,25314
0,24785
0,24962
0,24431
0,24608
0,24077
0,24254
0,23725
0,23724
0,23901
0,23900
0,24961
0,21956
0,21604
0,21603
0,21780
0,21779
0,21250
0,21251
0,21427
0,21073
0,20894
0,20895
0,21072
0,23371
0,23548
0,23017
0,23194
0,22663
0,22840
0,22309
0,22308
0,22486
0,21955
0,22131
0,22132
0,20718
0,20717
0,20010
0,19656
0,19833
0,20187
0,20364
0,20541
0,18416
0,18593
0,18770
0,18947
0,19124
0,19125
0,19302
0,19479
0,18061
0,18062
0,18239
0,17707
0,17706
0,17884
0,17351
0,17352
0,17529
0,16997
0,17174
0,16643
0,16820
0,16466
0,16288
0,16465
0,15933
0,15934
0,16111
0,15578
0,15579
0,15756
0,15224
0,15401
0,32923
0,32570
0,32747
0,32746
0,32395
0,32572
0,32571
0,32220
0,32397
0,32396
0,32044
0,32043
0,31690
0,31867
0,31336
0,31513
0,31158
0,31335
0,30625
0,30803
0,30981
0,30980
0,30626
0,30270
0,30271
0,30448
0,30093
0,14779
0,21814
0,21815
0,21816
0,21286
0,21639
0,21291
0,20052
0,19699
0,20230
0,20229
0,19875
0,19876
0,20407
0,20938
0,20934
0,20932
0,20933
0,21115
0,21111
0,21112
0,21113
0,21114
0,21109
0,20761
0,20584
0,21463
0,21462
0,20432
0,20078
0,19724
0,19725
0,20255
0,19901
0,20786
0,20609
0,20610
0,19547
0,19370
0,19371
0,19372
0,19373
0,19195
0,19196
0,19018
0,19019
0,18841
0,18664
0,18665
0,18489
0,18490
0,18491
0,18488
0,18314
0,18315
0,18138
0,21358
0,21006
0,21004
0,21005
0,21181
0,20829
0,21719
0,21896
0,22073
0,21364
0,21010
0,21187
0,20833
0,21541
0,21542
0,29509
0,29508
0,29332
0,28450
0,28449
0,28803
0,28802
0,28979
0,29155
0,29156
0,28626
0,34514
0,34515
0,34861
0,34862
0,34863
0,34864
0,34865
0,34866
0,34867
0,34684
0,34690
0,34691
0,34683
0,34506
0,34490
0,34491
0,34488
0,34842
0,34843
0,34844
0,34683
0,34665
0,34667
0,33976
0,33977
0,33960
0,33961
0,33955
0,33798
0,33799
0,33800
0,33784
0,33621
0,33607
0,33608
0,34153
0,34137
0,34132
0,34133
0,34329
0,34330
0,34311
0,34314
0,34310
0,33088
0,33089
0,33090
0,33079
0,33080
0,33081
0,33082
0,33267
0,33262
0,33264
0,33265
0,33259
0,33260
0,33261
0,33255
0,33256
0,33441
0,33444
0,33437
0,33438
0,33439
0,33440
0,33431
0,33432
0,35037
0,35021
0,34860
0,34843
0,34844
0,35385
0,35386
0,35387
0,35375
0,35211
0,35212
0,35213
0,35214
0,35210
0,35198
0,34683
0,35561
0,35562
0,35553
0,35552
0,36086
0,36087
0,36088
0,36089
0,36085
0,35913
0,35914
0,35912
0,35907
0,35908
0,35737
0,35738
0,35730
0,15577
0,15224
0,15401
0,15400
0,12932
0,12747
0,12748
0,12745
0,12746
0,12931
0,12751
0,12752
0,12750
0,12573
0,12572
0,12753
0,12754
0,12571
0,12568
0,12932
0,15224
0,14870
0,15047
0,14516
0,14693
0,13814
0,13813
0,13460
0,13637
0,13811
0,13812
0,13284
0,13285
0,13461
0,14339
0,14163
0,14340
0,13810
0,13986
0,13987
0,13633
0,13634
0,12931
0,13108
0,12932
0,12933
0,13473
0,13472
0,13292
0,13293
0,13294
0,13295
0,13290
0,13291
0,13112
0,13113
0,12934
0,12935
0,16128
0,16127
0,15956
0,15957
0,15952
0,15953
0,15954
0,15955
0,15951
0,15780
0,15775
0,15776
0,15603
0,15426
0,15427
0,15073
0,15250
0,16303
0,16304
0,13459
0,13460
0,13637
0,13282
0,13103
0,13104
0,13281
0,16120
0,16121
0,16122
0,16118
0,16117
0,16119
0,15945
0,15946
0,15771
0,15769
0,15770
0,15594
0,16472
0,16475
0,16297
0,16298
0,16295
0,16296
0,16116
0,16294
0,16293
0,16292
0,16291
0,16289
0,16290
0,16467
0,16468
0,16115
0,16288
0,16125
0,15948
0,15771
0,15594
0,16302
0,16303
0,15594
0,15417
0,15416
0,14528
0,14529
0,15239
0,15061
0,15062
0,14884
0,14706
0,14707
0,14351
0,14173
0,14174
0,13995
0,13996
0,13818
0,13817
0,13816
0,13637
0,13638
0,13639
0,15059
0,15057
0,15058
0,14882
0,14883
0,14884
0,14878
0,14879
0,14880
0,14877
0,14705
0,15579
0,15580
0,15581
0,15405
0,15404
0,15406
0,14875
0,15052
0,14876
0,15053
0,15230
0,15407
0,21814
0,21262
0,21085
0,20907
0,20908
0,21636
0,21637
0,21633
0,21634
0,21635
0,21628
0,21629
0,21630
0,21624
0,21625
0,21626
0,21627
0,21620
0,21621
0,21622
0,21623
0,21617
0,21618
0,21619
0,20730
0,20375
0,20376
0,20553
0,21455
0,21456
0,21453
0,21454
0,21443
0,21439
0,21440
0,19134
0,19135
0,18958
0,18603
0,18781
0,18780
0,18426
0,17539
0,17894
0,17716
0,17717
0,18248
0,18249
0,18071
0,17363
0,17362
0,17186
0,17009
0,17010
0,16833
0,16834
0,16657
0,16480
0,16303
0,20198
0,20021
0,19843
0,19844
0,19666
0,19489
0,19312
0,27656
0,27833
0,27834
0,28188
0,28189
0,28366
0,28367
0,28721
0,28722
0,28900
0,28899
0,29077
0,28011
0,27479
0,27301
0,27302
0,28544
0,26586
0,27124
0,27123
0,26768
0,26764
0,26765
0,26766
0,26767
0,26763
0,26945
0,26946
0,26393
0,26394
0,26219
0,26220
0,26215
0,26216
0,26217
0,26218
0,25503
0,25869
0,25870
0,25859
0,25860
0,25682
0,25680
0,25681
0,25324
0,26037
0,25499
0,25500
0,26054
0,25876
0,25877
0,25871
0,25872
0,25698
0,25699
0,25695
0,25696
0,25697
0,26046
0,26043
0,26044
0,26045
0,26038
0,26408
0,26409
0,26231
0,25502
0,25501
0,24785
0,24786
0,24787
0,24788
0,24965
0,25143
0,25144
0,25321
0,25322
0,25323
0,24966
0,27317
0,27318
0,27669
0,27494
0,27492
0,27493
0,27668
0,27845
0,27844
0,28196
0,28197
0,28372
0,28373
0,28724
0,28725
0,28900
0,28901
0,29077
0,28020
0,28021
0,28549
0,28548
0,26612
0,26613
0,26614
0,27141
0,26788
0,26789
0,26965
0,26964
0,26437
0,26259
0,26260
0,26082
0,25904
0,25905
0,25730
0,25731
0,25732
0,25733
0,25727
0,25728
0,25729
0,25028
0,25029
0,25556
0,25557
0,25204
0,25205
0,25380
0,25381
0,15073
0,14895
0,14896
0,14540
0,14717
0,14718
0,14363
0,14184
0,14185
0,14186
0,14006
0,14007
0,13828
0,13829
0,13650
0,13651
0,13473
0,16172
0,16171
0,15993
0,15994
0,15815
0,15816
0,15637
0,15638
0,15459
0,15460
0,15280
0,15281
0,15282
0,15103
0,15101
0,15102
0,14922
0,14923
0,14924
0,14567
0,14566
0,14744
0,14745
0,14388
0,14389
0,14211
0,14034
0,14033
0,14013
0,13856
0,13835
0,13836
0,13834
0,18478
0,17590
0,17591
0,17945
0,17946
0,17768
0,18300
0,18301
0,18123
0,17413
0,17236
0,17235
0,17058
0,16881
0,16704
0,16527
0,16349
0,16350
0,13679
0,13658
0,13659
0,13656
0,13657
0,13502
0,13481
0,13482
0,13478
0,13479
0,13473
0,13474
0,13475
0,13324
0,13325
0,13312
0,13313
0,13314
0,13315
0,13310
0,13311
0,13305
0,13300
0,13301
0,13298
0,13299
0,13147
0,13138
0,13132
0,13133
0,13128
0,13122
0,12970
0,12968
0,12969
0,12960
0,12961
0,12954
0,12955
0,12951
0,12953
0,12791
0,12790
0,12784
0,12775
0,12776
0,12774
0,12612
0,12613
0,12607
0,12608
0,12435
0,12430
0,12431
0,12256
0,12257
0,12258
0,12253
0,12254
0,12255
0,12077
0,12076
0,9032
0,9033
0,9210
0,9209
0,8680
0,8681
0,8679
0,8856
0,8505
0,8328
0,8329
0,7448
0,6918
0,7271
0,7095
0,7094
0,8682
0,7801
0,7802
0,7800
0,7976
0,7977
0,7975
0,8152
0,7625
0,4986
0,4987
0,4988
0,4989
0,4982
0,4983
0,4984
0,4985
0,5164
0,5165
0,5158
0,9913
0,10090
0,9560
0,9737
0,9736
0,9383
0,9208
0,9385
0,9384
0,9031
0,8502
0,8503
0,5855
0,6032
0,6208
0,6209
0,6562
0,6385
0,6386
0,6563
0,6740
0,5154
0,5155
0,5156
0,5157
0,5150
0,5151
0,5152
0,5153
0,5149
0,4981
0,6741
0,5330
0,5326
0,5680
0,5502
0,5328
0,5679
0,5856
0,5857
0,5503
0,4807
0,4808
0,5331
0,5327
0,4991
0,4988
0,4989
0,5166
0,5167
0,5168
0,4455
0,4632
0,4633
0,4810
0,4811
0,2874
0,20467
0,20466
0,20116
0,20117
0,20118
0,19939
0,19940
0,19941
0,19763
0,28808
0,28809
0,28986
0,28987
0,27552
0,27729
0,28083
0,27374
0,27375
0,27906
0,28260
0,28437
0,28791
0,28968
0,29145
0,28614
0,27197
0,19010
0,19009
0,18654
0,18833
0,18834
0,18835
0,18831
0,18832
0,18477
0,3684
0,3685
0,3862
0,4569
0,2444
0,2090
0,2798
0,2975
0,2267
0,2621
0,3152
0,1029
0,852
0,853
0,1382
0,1383
0,1913
0,1205
0,1206
0,1559
0,1560
0,1736
0,676
0,322
0,321
0,145
0,144
0,499
0,4746
0,3329
0,3330
0,4216
0,4215
0,4039
0,4393
0,4392
0,3507
0,1093
0,1094
0,1092
0,558
0,557
0,1451
0,735
0,736
0,913
0,914
0,915
0,1274
0,1271
0,1272
0,1273
0,379
0,380
0,202
0,198
0,199
0,200
0,201
0,22
0,361
0,538
