place_id,name,lat,lng,types,rating,address,ID,vicinity
ChIJ_UNlrP1_rxIRxKQ7pRJIe0Y,Gare de Porte-Puymorens,42.53893980000001,1.8249734,"['train_station', 'transit_station', 'point_of_interest', 'establishment']",,"66760 Porta, France",cdd2060e64eab6008d66839de0c6936eb669d457,France
ChIJ-SMnfNyKpRIRYH4Wy3MiPg4,OUTLET SPORTECH,42.50899079999999,1.5345198,"['store', 'point_of_interest', 'establishment']",5.0,"Av. Carlemany, 70, AD700 Escaldes-Engordany, Andorra",f84b36e51c1efb19e09c054a0fb6d60b90827a7c,"Avinguda Carlemany, 70, Escaldes-Engordany"
ChIJIQ11cd70pRIRNf3dsRnHqJQ,AC AUTO SERVEI,42.4974506,1.5030812,"['car_repair', 'store', 'point_of_interest', 'establishment']",,"Av. d'Enclar, 25, AD500 Santa Coloma, Andorra",4c69e7f516feee7db10afc9fcfeffab8fdb11daa,"Avinguda d'Enclar, 25, Santa Coloma"
ChIJaf4BvCz1pRIRt8NF7UTcqpk,Farmàcia del Currubell,42.50749469999999,1.5199516,"['pharmacy', 'store', 'health', 'point_of_interest', 'establishment']",,"Av. Príncep Benlloch, 16, AD500 Andorra la Vella, Andorra",d24b29a58ab415070a4a66b574f9c8c64912b077,"Avinguda Príncep Benlloch, 16, Andorra la Vella"
ChIJXYLJ_tCKpRIRpkzziHPKVrU,K-tuin Tiendas Apple,42.5088203,1.5286298,"['electronics_store', 'store', 'point_of_interest', 'establishment']",4.3,"Av. Meritxell, 76, AD500 Andorra la Vella, Andorra",05c4d5ad29ac7df2b8466423908c91f137035221,"Avinguda Meritxell, 76, Andorra la Vella"
ChIJAQAALGDzpRIRvN9xn71pNVM,Universe Ticket,42.5081643,1.5290245,"['travel_agency', 'point_of_interest', 'establishment']",,"Carrer Bonaventura Armengol, 10, AD500 Andorra la Vella, Andorra",80e08dcdf89caf6dbe2e0b22ff8dab92fd0bb6d6,"Carrer Bonaventura Armengol, 10, Andorra la Vella"
ChIJC1h9ENqKpRIRHTtIWBJJZXc,El Tall a taula,42.50708470000001,1.5313031,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.2,"Carrer Bonaventura Riberaygua, 13, AD500 Andorra la Vella, Andorra",926a07b428aa9480cccd773db9d4574bb738b4aa,"Carrer Bonaventura Riberaygua, 13, Andorra la Vella"
ChIJnyV6StOKpRIRVZput0Rm7s0,Promocions Norma,42.5077854,1.5209964,"['real_estate_agency', 'point_of_interest', 'establishment']",5.0,"Carrer Dr. Nequi, 5, AD500 Andorra la Vella, Andorra",3efc7e5239f116dbc321dc7b281169797f8ac76c,"Carrer Doctor Nequi, 5, Andorra la Vella"
ChIJiY9pWaNfrxIRBaCkjwbruFE,SHUSSKI ARINSAL SANT GOTHARD,42.56553700000001,1.490976,"['store', 'point_of_interest', 'establishment']",5.0,"Carretera General d'Arinsal. Hotel Sant Gothard. Arinsal., AD400 Arinsal, Andorra",dce6360ac442e1346ef573f7e876c17ab7ccbeec,"Carretera General d'Arinsal. Hotel Sant Gothard. Arinsal., Arinsal"
ChIJL-QAUKhfrxIRzSLDoTKpnik,BAR RESTAURANT EL MOLI DE LA PLACA,42.572638,1.483975,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.5,"AD400 Arinsal, Andorra",e1f79d11953223b22ed45b83c00de509edcad7ab,Arinsal
ChIJYQ08UNOKpRIRabOJ47x_akI,La Birreria De Andorra,42.5071278,1.5213754,"['bar', 'point_of_interest', 'establishment']",5.0,"Carrer de la Vall, 3, AD500 Andorra la Vella, Andorra",72dac22bde5aeb06b0e6ed9b711e6116f5a53e88,"Carrer de la Vall, 3, Andorra la Vella"
ChIJjSNJwNdirxIRcX5dNp7E_pA,casa nova apartments,42.577049,1.667496,"['lodging', 'point_of_interest', 'establishment']",4.0,"carrer antic, soldeu,, AD100 Canillo, Andorra",ba2500a78cad9045b511c4a14fb51d136077ef3c,"carrer antic, soldeu,, Canillo"
ChIJW_Lznox9rxIRkn4TLMM6y8g,Hotel Parma Andorra,42.5434362,1.7326031,"['lodging', 'point_of_interest', 'establishment']",3.9,"Plaça Coprínceps, 26-28, AD200 Pas de la Casa, Andorra",de49ca9d71fa5b5c8c813698c855a1691054e96d,"Plaça Coprínceps, 26-28, Pas de la Casa"
ChIJmwUKvolhrxIRF9coja-OFC4,Farmàcia Abarset,42.5656647,1.5968819,"['pharmacy', 'store', 'health', 'point_of_interest', 'establishment']",4.0,"AD100 Canillo, Andorra",b34acd9d050c7c38bcd52618cbbaad12fd1a5947,Canillo
ChIJi9aunNCKpRIRSy4GifU45cc,CASHMERE SHOP,42.50827169999999,1.5301492,"['clothing_store', 'store', 'point_of_interest', 'establishment']",5.0,"Av. Meritxell, 90, AD500 Andorra la Vella, Andorra",93edc07653585ddbf8d21038147082eb0a928f58,"Avinguda Meritxell, 90, Andorra la Vella"
ChIJI7J5sdn0pRIRDqOpxllIx5A,Taller Dinamic,42.49902640000001,1.5095273,"['car_repair', 'point_of_interest', 'establishment']",,"Carrer Prada de Moles, 6, AD500 Andorra la Vella, Andorra",dc21c0ebd8d4c22a37bec33ce4f5721956a7c87f,"Carrer Prada de Moles, 6, Andorra la Vella"
ChIJ3an2KtqKpRIRmxuKv2NpQt0,Aparcament Comunal Fener II,42.5065114,1.5328339,"['parking', 'point_of_interest', 'establishment']",,"AD500 Andorra la Vella, Andorra",7e2631dc1ade3422ca5ae09ac7acb4e7aaff0fab,
ChIJd9TNh3GKpRIRGnBsSTLP2wk,SIR Andorra,42.5322681,1.574018,"['real_estate_agency', 'point_of_interest', 'establishment']",,"Av. de Joan Martí, 102, AD200 Encamp, Andorra",0a239c8ff6b5232ba72663a213a6064b748592bd,"Avinguda de Joan Martí, 102, Encamp"
ChIJ5S2IC4t9rxIRE_KWdVrJC8E,BURGER KING,42.5413764,1.7322478,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.5,"Carrer Bearn, 12, AD200 Pas de la Casa, Andorra",bc3cce9afe83a389e07caaa58830d9a23350a6da,"Carrer Bearn, 12, Pas de la Casa"
ChIJVQ7RL3KKpRIRnNbCt11s4rw,Neu i Mar,42.50744419999999,1.5290085,"['real_estate_agency', 'point_of_interest', 'establishment']",5.0,"Av. Carlemany, 35, AD700 Escaldes-Engordany, Andorra",550a4add71f1ebe98f2107a33fb580bff5c8fbd9,"Avinguda Carlemany, 35, Escaldes-Engordany"
ChIJ_38bTZD0pRIRPly-bPGWHVc,Sant Martí de Nagol,42.47492990000001,1.493515,"['church', 'place_of_worship', 'point_of_interest', 'establishment']",4.8,"AD600 Sant Julià de Lòria, Andorra",5b19f7fffd492f93c54214416d09838f6a6e5748,Sant Julià de Lòria
ChIJyfxSXNj0pRIRKDLEUTZdP6o,SEUWAGEN,42.505145,1.527644,"['car_dealer', 'car_rental', 'car_repair', 'store', 'point_of_interest', 'establishment']",4.0,"Av. de Tarragona, 51, AD500 Andorra la Vella, Andorra",1cd7c2b256b911ea104a8128b15cff973b1cb35a,"Avinguda de Tarragona, 51, Andorra la Vella"
ChIJz3rAUNGKpRIRtrZ0SudJ1iY,Kökosnøt,42.5070396,1.526075,"['restaurant', 'food', 'point_of_interest', 'establishment']",5.0,"Carrer Prat de la Creu, 29, AD500 Andorra la Vella, Andorra",04423cb3cf41686fe617029e0b241de58a159fbe,"Carrer Prat de la Creu, 29, Andorra la Vella"
ChIJ2Ub4cJtfrxIRMHKZkXCUAAo,Xixerella,42.553148,1.486532,"['locality', 'political']",,"AD400 Xixerella, Andorra",0a6724d514f4259d07d9b397e6a59789eda7e5ee,Xixerella
ChIJW91Abyn1pRIROpvU_ABHxQI,STELA ANDORRANA HONDA,42.5050519,1.5153478,"['car_dealer', 'store', 'point_of_interest', 'establishment']",5.0,"Av. Príncep Benlloch, 91, AD500 Andorra la Vella, Andorra",e74af150f354238f63cdb4e56382f4b74c324421,"Avinguda Príncep Benlloch, 91, Andorra la Vella"
ChIJORxm-NCKpRIRedFXYYYLz4U,Residencia Paris,42.50893749999999,1.5285317,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Av. Meritxell, 65, AD500 Andorra la Vella, Andorra",87964073f56104d2d299ebc75d0e8f55f0fa2a94,"Avinguda Meritxell, 65, Andorra la Vella"
ChIJr_suN9OKpRIR4WeqhdPQFFo,TU I JO XICS,42.508074,1.521343,"['clothing_store', 'store', 'point_of_interest', 'establishment']",,"Carrer Dr. Nequi, 2, AD500 Andorra la Vella, Andorra",30f4a399da5da8897f4c330e3ba485230db8abfb,"Carrer Doctor Nequi, 2, Andorra la Vella"
ChIJRXCuRqyKpRIRSKh4sj5AZIE,Aparcament Comunal,42.534403,1.5242222,"['parking', 'point_of_interest', 'establishment']",,"AD400 La Massana, Andorra",76576d02beb6ab3621fd6112e0c594c4035d533c,La Massana
ChIJw36gn92KpRIRCVys-xcb6VU,Shana,42.508632,1.539106,"['clothing_store', 'store', 'point_of_interest', 'establishment']",3.0,"Av. Carlemany, 67, AD700 Escaldes-Engordany, Andorra",8976d17c76b0899d21e9cd4b3111126785bf4d55,"Avinguda Carlemany, 67, Escaldes-Engordany"
ChIJUSaa6guKpRIRUkbyVkWCl_8,RESTAURANT CALIU D'EN JOSEP,42.53635999999999,1.582731,"['food', 'point_of_interest', 'establishment']",4.5,"Av. de François Mitterrand, 4, AD200 Encamp, Andorra",92541b7f0c5b9a8ea52e9684ccb30cd1b4cefe4a,"Avinguda de François Mitterrand, 4, Encamp"
ChIJtaM8b9qKpRIRtCcD3egtVNM,Starbucks Andorra,42.5081634,1.5313962,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,"Av. Meritxell, AD500 Andorra la Vella, Andorra",ee41844d1137ae4531b87407ceb73401a7416425,"Avinguda Meritxell, Andorra la Vella"
ChIJNxw7kCZirxIRrdSiXXhUaiM,Les Fonts,42.566093,1.6025364,"['lodging', 'point_of_interest', 'establishment']",3.5,"Urbanitzacio Els Refugis, AD100 Canillo, Andorra",6622fd3443d97819cd816b235bee3e730a0eb3d6,"Urbanitzacio Els Refugis, Canillo"
ChIJ5-HMEJlgrxIRaBxbcmLjbik,Braseria La Neu,42.59866239999999,1.5291971,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.3,"Avenida de l'Angonella s/n, AD300 Llorts, Andorra",0ebec9b05eb9ea7e035821c13e6385790c15a811,"Avenida de l'Angonella s/n, Llorts"
ChIJXVIuy55grxIRzupiZxFdJjI,Apartaments la Neu,42.600068,1.532545,"['bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.7,"Avenida de l' Angonella s/n, AD300 Llorts, Andorra",476f9117298b9b46e3134485c31682fdb280d0e3,"Avenida de l' Angonella s/n, Llorts"
ChIJB7MMatOKpRIRFsAn7_s0180,FORTIOR,42.50764179999999,1.5220687,"['jewelry_store', 'store', 'point_of_interest', 'establishment']",5.0,"Plaça Príncep Benlloch, AD500 Andorra la Vella, Andorra",134770de3b290f45c31969e45462185689d65811,"Plaça Príncep Benlloch, Andorra la Vella"
ChIJd93UOYt9rxIRuASVYXc3t2Q,Pic Negre 16 - Pas de la casa,42.54165649999999,1.7338141,"['bicycle_store', 'store', 'point_of_interest', 'establishment']",2.0,"13 Av. d'Encamp, AD200 Pas de la Casa, Andorra",df696d210f48adf3542f11eaef9d038a36d81f95,"Avinguda d'Encamp, 13, Pas de la Casa"
ChIJE3g_LnKKpRIRXKCY_OpTKjg,HOTEL ALFA,42.53233900000001,1.574731,"['lodging', 'point_of_interest', 'establishment']",2.3,"Av. de Joan Martí, 87, AD200 Encamp, Andorra",86feefd82bd3adcc3d71c60ad808535f3a951151,"Avinguda de Joan Martí, 87, Encamp"
ChIJMdIueYx9rxIRphPMh870fj4,SUPERMERCAT PARADÍS,42.5429988,1.7316528,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",5.0,"Carrer Sant Jordi, 31, AD200 Pas de la Casa, Andorra",2fef14a58e29b18a510ca6ad9591643f38e2b511,"Carrer Sant Jordi, 31, Pas de la Casa"
ChIJO3yTTo3zpRIRQHCZkXCUAAo,Fontaneda,42.45413430000001,1.4633708,"['locality', 'political']",,"AD600 Fontaneda, Andorra",1fe143b8ff280d09d908e558e2ebf67ec7d9060b,Fontaneda
ChIJJRqbyiz1pRIRn69UNKEmayY,CO2 MODA I COMPLEMENTS,42.50782899999999,1.520755,"['clothing_store', 'store', 'point_of_interest', 'establishment']",5.0,"Carrer Dr. Nequi, 12, AD500 Andorra la Vella, Andorra",c64414f0f13ebd540e4e54cbbda9344fc9fdff7a,"Carrer Doctor Nequi, 12, Andorra la Vella"
ChIJJ8sqxiVjrxIRo2U6lNn1iAc,Apartamento Envalira,42.584089,1.664536,"['lodging', 'point_of_interest', 'establishment']",,"Ctra. Vall d'Incles s/n, AD100 Incles, Andorra",da89aa12fbfadc0bb1b959865df60e1c32ec1d33,"Ctra. Vall d'Incles s/n, Incles"
ChIJ60G5WNyKpRIRZWM3_2ULfFs,The New 1978,42.50877099999999,1.536971,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,"Av. Carlemany, 52, AD700 Escaldes-Engordany, Andorra",1ca10f13bd719775797899de55faef49794338d9,"Avinguda Carlemany, 52, Escaldes-Engordany"
ChIJf7ZiVZKHpRIR9DmJhmj0C28,Restaurant El Piolet,42.5257717,1.6983464,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,"A peu de pista de Montmalús, Grandvalira - Sector Grau-Roig, AD200 Grau Roig, Andorra",c3559d2e50958a579a61a36dc87c19efa3ce635c,"A peu de pista de Montmalús, Grandvalira - Sector Grau-Roig, Grau Roig"
